product_id,sku_id,product_name,brand_id,category_id,description,launch_date,status
P000081,SKU000081,Saree 520,BR00178,CAT003,Evening story half operation hotel computer head. Government theory commercial drop last actually.,2025-08-26,ACTIVE
P000082,SKU000082,Laptop 579,BR00265,CAT004,Too oil affect bed. Be itself position.,2023-10-18,ACTIVE
P000083,SKU000083,Saree 477,BR00595,CAT003,Difference animal there attack attention and employee. Attack whom put memory full break answer.,2024-10-07,ACTIVE
P000084,SKU000084,Sneakers 170,BR00282,CAT001,Today stage easy cover specific. Crime summer actually. Space individual whether.,2026-03-02,ACTIVE
P000085,SKU000085,Jacket 564,BR00818,CAT004,Over source successful various eye push. Environmental no animal data. Hard edge his.,2023-12-22,ACTIVE
P000086,SKU000086,Saree 21,BR00408,CAT002,Rock assume reason according. President cup moment summer.,2023-11-26,ACTIVE
P000087,SKU000087,T-Shirt 506,BR00512,CAT003,Inside now fact on article. Hospital wait debate need.,2023-12-26,ACTIVE
P000088,SKU000088,Backpack 271,BR00042,CAT003,Which end visit step card expert have. Much would will young.,2026-06-05,ACTIVE
P000089,SKU000089,Sneakers 904,BR00468,CAT005,Central thought consumer shoulder condition figure.,2024-11-27,ACTIVE
P000090,SKU000090,Saree 159,BR00364,CAT001,Throw wear table. Pass hot age could camera share analysis. Great smile up local pick officer.,2024-10-23,ACTIVE
P000091,SKU000091,Jeans 524,BR00601,CAT004,"Painting tonight return play western.
Avoid pay this. Resource worker everything head.",2026-02-08,ACTIVE
P000092,SKU000092,Jeans 715,BR00919,CAT002,Red order rise affect clearly must new hundred. Act fast kid here west.,2024-06-28,ACTIVE
P000093,SKU000093,Backpack 993,BR00354,CAT004,Gas effect discussion peace baby. Across make threat eat center west.,2025-09-05,ACTIVE
P000094,SKU000094,T-Shirt 646,BR00540,CAT005,Store work sense environment fall. At lose tend purpose manager simple. Between maintain where.,2026-04-15,ACTIVE
P000095,SKU000095,Backpack 120,BR00536,CAT005,Everyone listen image century remember increase front. Season task fear hand.,2026-04-03,ACTIVE
P000096,SKU000096,T-Shirt 282,BR00116,CAT002,Arm official red meet remain improve. Include decide help impact.,2024-04-17,ACTIVE
P000097,SKU000097,Headphones 235,BR00914,CAT004,Project of white pattern maintain simple. Drop bad build effect never pressure court health.,2026-04-20,ACTIVE
P000098,SKU000098,T-Shirt 608,BR00850,CAT001,Ground answer total process bar personal race several. Wait contain decade study drop.,2024-01-26,ACTIVE
P000099,SKU000099,Headphones 7,BR00638,CAT003,"Into again provide.
May involve through what spring partner. She live provide mouth.",2024-12-18,ACTIVE
P000100,SKU000100,Sneakers 350,BR00768,CAT001,Maybe face democratic between discuss.,2025-06-24,ACTIVE
P000101,SKU000101,Jacket 491,BR00512,CAT001,Light leader time group per. Chair across land ahead. Wide research fish expert identify.,2025-01-07,ACTIVE
P000102,SKU000102,Backpack 735,BR00338,CAT001,Figure coach woman character. Among important data plant.,2026-06-06,ACTIVE
P000103,SKU000103,Sneakers 775,BR00454,CAT005,General put buy. Must activity reduce grow suggest let.,2025-06-06,ACTIVE
P000104,SKU000104,Watch 161,BR00737,CAT002,Election work she social necessary identify discuss. Similar individual other arrive.,2026-09-09,ACTIVE
P000105,SKU000105,Sneakers 84,BR00845,CAT001,On fine order traditional. Board adult another letter husband probably.,2024-01-24,ACTIVE
P000106,SKU000106,Watch 383,BR00225,CAT002,Long support dog.,2025-05-20,ACTIVE
P000107,SKU000107,Laptop 688,BR00735,CAT002,Effort as explain. It my growth she by and. Ground new everything sound.,2026-06-07,ACTIVE
P000108,SKU000108,Jacket 944,BR00391,CAT003,Well pattern build body hour. Direction through never page.,2025-10-05,ACTIVE
P000109,SKU000109,T-Shirt 883,BR00990,CAT005,Stage whole public provide stay region.,2026-09-15,ACTIVE
P000110,SKU000110,Jeans 763,BR00490,CAT005,Individual pressure happy look sea key. Note marriage project who TV wide alone put.,2024-09-18,ACTIVE
P000111,SKU000111,Backpack 426,BR00477,CAT005,Already law notice. Discussion energy run important less just worker.,2025-06-29,ACTIVE
P000112,SKU000112,Watch 389,BR00595,CAT003,To wall could. Space catch possible concern range hour race.,2024-02-02,ACTIVE
P000113,SKU000113,Backpack 774,BR00482,CAT001,Walk soon run. Open suggest dinner notice.,2026-03-23,ACTIVE
P000114,SKU000114,Sneakers 793,BR00581,CAT003,Ball budget job story themselves account free.,2026-05-28,ACTIVE
P000115,SKU000115,Laptop 57,BR00764,CAT003,Best off you respond movie guy. Garden there Republican.,2026-03-28,ACTIVE
P000116,SKU000116,Laptop 44,BR00112,CAT002,"Author during heavy full.
Create defense wide crime.",2026-07-17,ACTIVE
P000117,SKU000117,Laptop 451,BR00992,CAT003,We ahead pass reality suffer throw rest. Source reduce all fall.,2024-03-12,ACTIVE
P000118,SKU000118,Backpack 721,BR00884,CAT005,Know major stop blood beat your. Around TV within seven.,2026-05-02,ACTIVE
P000119,SKU000119,Jacket 734,BR00452,CAT003,Forget brother much him its. Six age local save. Image billion data Mrs.,2024-03-18,ACTIVE
P000120,SKU000120,Jeans 164,BR00456,CAT002,Because else high.,2024-09-07,ACTIVE
P000121,SKU000121,Jacket 443,BR00271,CAT002,Do weight heart no outside role most. Take same tonight either staff professional.,2025-10-20,ACTIVE
P000122,SKU000122,Backpack 316,BR00279,CAT001,Yet spend edge really. Pick personal next officer.,2024-10-29,ACTIVE
P000123,SKU000123,Sneakers 14,BR00378,CAT004,Paper your serious represent boy save no. Thus skill position American actually need TV character.,2026-02-04,ACTIVE
P000124,SKU000124,Watch 33,BR00049,CAT004,Media same not leg body open religious decide. Old draw wrong involve.,2023-11-27,ACTIVE
P000125,SKU000125,Jacket 175,BR00035,CAT004,Remember body upon only both ability matter.,2025-11-07,ACTIVE
P000126,SKU000126,Jacket 754,BR00051,CAT001,Kitchen before ever style ball.,2023-11-21,ACTIVE
P000127,SKU000127,Laptop 658,BR00931,CAT002,Provide cold even security. Need end trial hour first. Pay such take way theory involve.,2026-03-13,ACTIVE
P000128,SKU000128,Saree 494,BR00578,CAT003,Either energy interview charge. Activity growth resource practice safe.,2026-05-22,ACTIVE
P000129,SKU000129,Sneakers 829,BR00655,CAT004,Effect political prevent stop black. Mrs behavior public good democratic benefit field.,2024-05-28,ACTIVE
P000130,SKU000130,Saree 827,BR00232,CAT003,Congress five wish camera. Describe by traditional why side its.,2024-01-24,ACTIVE
P000131,SKU000131,Watch 584,BR00660,CAT001,Born create recognize head conference would war. About enter wear help option but push.,2024-07-24,ACTIVE
P000132,SKU000132,Headphones 295,BR00080,CAT003,Kitchen view laugh that among. Yet oil interview perform. Not receive authority purpose understand.,2026-07-25,ACTIVE
P000133,SKU000133,Sneakers 322,BR00700,CAT004,Them plan section. Civil fall history result somebody forget than.,2025-06-01,ACTIVE
P000134,SKU000134,Headphones 149,BR00882,CAT003,Oil not identify modern always guess.,2025-05-20,ACTIVE
P000135,SKU000135,T-Shirt 511,BR00742,CAT005,Other test break mouth toward week himself. Whose matter success create.,2024-08-10,ACTIVE
P000136,SKU000136,Backpack 852,BR00377,CAT005,"Institution tonight turn close close force effect.
Wide easy dream call.",2025-10-31,ACTIVE
P000137,SKU000137,Sneakers 75,BR00809,CAT005,Thus while thought trial civil sell. Tough else property water follow high open.,2025-10-24,ACTIVE
P000138,SKU000138,Sneakers 926,BR00610,CAT005,Work once field hot different both. Effect argue experience politics husband husband.,2025-09-27,ACTIVE
P000139,SKU000139,Jeans 863,BR00585,CAT004,Ready chance important draw question free. Recent individual son leader.,2023-11-02,ACTIVE
P000140,SKU000140,Jacket 771,BR00170,CAT002,Unit try sister responsibility. Daughter Mr hand floor line policy.,2023-10-09,ACTIVE
P000141,SKU000141,Saree 486,BR00826,CAT005,Actually choice easy head building member add. Federal no positive chair difference election major.,2025-03-03,ACTIVE
P000142,SKU000142,Sneakers 607,BR00204,CAT004,Book turn report set. Improve audience then later him real something.,2026-02-14,ACTIVE
P000143,SKU000143,Saree 332,BR00117,CAT003,Develop general PM usually particular me political. Yes around wall painting memory.,2025-03-26,ACTIVE
P000144,SKU000144,Watch 606,BR00524,CAT002,"Today meet court everyone hope first. Crime phone still.
Perform knowledge first hard.",2025-11-21,ACTIVE
P000145,SKU000145,Jeans 171,BR00454,CAT003,Radio hope who should great.,2026-08-07,ACTIVE
P000146,SKU000146,Saree 482,BR00282,CAT004,West practice mission organization. Environmental leave student meeting.,2025-04-25,ACTIVE
P000147,SKU000147,Saree 771,BR00418,CAT001,Minute control skill art include away. Choice should claim. Protect bit worry wide.,2023-11-07,ACTIVE
P000148,SKU000148,Laptop 251,BR00828,CAT004,Sign difficult bed born artist pay. Ever detail participant financial identify whole bed.,2026-03-22,ACTIVE
P000149,SKU000149,Saree 349,BR00337,CAT005,Leg mission book he happen. Others section public design.,2025-10-03,ACTIVE
P000150,SKU000150,Jeans 647,BR00255,CAT004,Page part growth arm out evidence table.,2024-10-21,ACTIVE
P000151,SKU000151,Saree 834,BR00869,CAT005,"Themselves wrong similar style well.
Western some computer. Boy car statement than maybe.",2025-09-24,ACTIVE
P000152,SKU000152,Sneakers 401,BR00069,CAT004,Consider season media air some loss white. Although brother others half.,2024-01-07,ACTIVE
P000153,SKU000153,Jeans 616,BR00100,CAT004,Dream knowledge focus contain data season. Scientist skill subject well way seem take along.,2024-03-18,ACTIVE
P000154,SKU000154,Jacket 1,BR00560,CAT005,Side five Republican film foot. Section kind down describe between. Record group affect simply.,2026-03-30,ACTIVE
P000155,SKU000155,Jeans 737,BR00910,CAT001,Beat help game range suffer. Information real training.,2024-04-28,ACTIVE
P000156,SKU000156,T-Shirt 51,BR00729,CAT005,Seem executive crime dinner middle low serious activity. Factor white film green.,2026-05-25,ACTIVE
P000157,SKU000157,Backpack 234,BR00234,CAT004,Figure middle majority learn herself. Trouble those would author.,2025-11-01,ACTIVE
P000158,SKU000158,Sneakers 352,BR00418,CAT001,Choose ahead onto hope identify whatever. Ever same professional lose they author.,2023-11-22,ACTIVE
P000159,SKU000159,Laptop 893,BR00908,CAT003,"Identify start wind need including phone.
Book structure letter pattern until owner.",2024-04-18,ACTIVE
P000160,SKU000160,Jeans 254,BR00970,CAT002,Anything kind whole head protect hope size nice.,2025-01-15,ACTIVE
P000161,SKU000161,Sneakers 888,BR00141,CAT005,Check by body. Attention executive account ever. Reveal begin response structure somebody reality.,2024-03-29,ACTIVE
P000162,SKU000162,Backpack 396,BR00070,CAT004,Eye of street strategy campaign. House land occur.,2024-01-15,ACTIVE
P000163,SKU000163,T-Shirt 302,BR00682,CAT003,Book Republican realize protect threat turn realize. Civil likely man staff style.,2024-11-23,ACTIVE
P000164,SKU000164,Sneakers 113,BR00835,CAT001,Ground also possible whole resource. Interest community of field respond certainly important prove.,2025-05-15,ACTIVE
P000165,SKU000165,Sneakers 610,BR00597,CAT003,Together relationship draw return write ask check morning. Direction voice four budget.,2025-10-28,ACTIVE
P000166,SKU000166,Jacket 58,BR00171,CAT002,Seem fund site blood. Two interest travel environment story. Home form short center stock.,2024-07-29,ACTIVE
P000167,SKU000167,T-Shirt 701,BR00637,CAT004,Cup production high leg. Involve describe bring get back avoid.,2025-06-25,ACTIVE
P000168,SKU000168,Headphones 261,BR00326,CAT001,Away radio could simple middle impact politics business. Degree today team fact who sport.,2026-02-08,ACTIVE
P000169,SKU000169,Watch 12,BR00635,CAT002,Cause affect range wait indeed sell. Foot receive their dream.,2024-03-11,ACTIVE
P000170,SKU000170,Jacket 923,BR00308,CAT005,Simply language attention. Grow fund what her personal.,2026-08-05,ACTIVE
P000171,SKU000171,Laptop 20,BR00273,CAT001,Notice there talk author natural simple. Statement green represent PM.,2024-06-25,ACTIVE
P000172,SKU000172,T-Shirt 791,BR00701,CAT005,Present no pay work improve name stuff. Decade low image vote mother middle whatever image.,2024-07-29,ACTIVE
P000173,SKU000173,Watch 326,BR00262,CAT001,Certain provide author soldier. Behind attack study guy.,2023-09-30,ACTIVE
P000174,SKU000174,Backpack 321,BR00983,CAT003,For help sort see billion stuff impact. Head both wait feel age smile whether.,2025-07-26,ACTIVE
P000175,SKU000175,Sneakers 522,BR00374,CAT003,Development always cold detail race will. Entire fight with campaign blood sign although idea.,2025-05-06,ACTIVE
P000176,SKU000176,Watch 161,BR00665,CAT004,Difficult take while can she television.,2024-06-28,ACTIVE
P000177,SKU000177,Headphones 153,BR00799,CAT003,Explain respond walk customer nice first. Above without event ago sign.,2024-09-28,ACTIVE
P000178,SKU000178,Jacket 608,BR00107,CAT005,Any weight reach television. Not employee Democrat sing its. Worker particularly couple cost rock.,2026-03-29,ACTIVE
P000179,SKU000179,Watch 576,BR00526,CAT002,Crime situation design worry. More prevent thank son. Enough film why at budget rule girl pressure.,2025-08-10,ACTIVE
P000180,SKU000180,Sneakers 43,BR00733,CAT001,Couple history tough action food debate else.,2025-07-03,ACTIVE
P000181,SKU000181,Jacket 203,BR00472,CAT003,Important would leg body cup. There us product south bag thought yourself.,2026-02-19,ACTIVE
P000182,SKU000182,Jacket 353,BR00525,CAT005,Foreign area stop. Pick push teach rich reduce game continue.,2023-11-07,ACTIVE
P000183,SKU000183,Jeans 32,BR00888,CAT001,Role look summer wonder weight center doctor. Better kind interesting exactly who then.,2023-12-25,ACTIVE
P000184,SKU000184,Laptop 57,BR00693,CAT001,No support cost people. Institution law you.,2024-01-16,ACTIVE
P000185,SKU000185,Jeans 34,BR00820,CAT003,Road church consider who. Today interesting town expert. Area simple hour.,2025-08-10,ACTIVE
P000186,SKU000186,Jacket 802,BR00903,CAT004,Win identify until son work. When scene generation control rise. Seem bill into.,2024-08-22,ACTIVE
P000187,SKU000187,Saree 550,BR00503,CAT005,Performance special fight reveal majority memory.,2025-05-28,ACTIVE
P000188,SKU000188,Headphones 653,BR00277,CAT004,Charge stage while bit until when central increase. Realize act opportunity on.,2025-03-15,ACTIVE
P000189,SKU000189,Saree 958,BR00008,CAT004,Behind arrive peace pay plant trade. Issue when quite probably miss common determine space.,2026-04-06,ACTIVE
P000190,SKU000190,Backpack 890,BR00210,CAT002,Continue director return always. Your hair use thing including happy. Keep difference reach.,2026-01-03,ACTIVE
P000191,SKU000191,Jacket 109,BR00868,CAT002,Participant dinner skill why. Source security TV purpose discussion need general.,2026-03-06,ACTIVE
P000192,SKU000192,Jacket 88,BR00766,CAT004,Century discussion very perform program. Two indeed four reveal evening indeed.,2023-12-17,ACTIVE
P000193,SKU000193,Headphones 93,BR00636,CAT003,"Their pressure modern never apply watch.
Phone catch more bad. Anyone discuss according.",2025-08-27,ACTIVE
P000194,SKU000194,Watch 744,BR00351,CAT005,Law someone likely religious. Turn suggest operation away real above medical.,2026-02-26,ACTIVE
P000195,SKU000195,T-Shirt 355,BR00209,CAT004,Choice son daughter here man. And quite mind nation. Seven Democrat morning seem.,2024-08-23,ACTIVE
P000196,SKU000196,Laptop 536,BR00191,CAT005,Dog herself book American can compare treat. Quite son perform least.,2025-09-03,ACTIVE
P000197,SKU000197,Headphones 551,BR00092,CAT005,Least available plan summer. Baby me measure will turn history. Serve though and head American say.,2024-10-23,ACTIVE
P000198,SKU000198,Jacket 34,BR00605,CAT001,Than line as Democrat.,2026-07-30,ACTIVE
P000199,SKU000199,Saree 482,BR00371,CAT002,Recognize perform drug information candidate. Low today visit water me arrive similar.,2026-09-04,ACTIVE
P000200,SKU000200,Backpack 665,BR00199,CAT003,Poor owner decision everything trip manage and. Really gas cause. Unit meet each look.,2025-12-17,ACTIVE
P000201,SKU000201,T-Shirt 684,BR00360,CAT004,Including set fill rest have hair story. Table act oil never series issue game.,2025-07-12,ACTIVE
P000202,SKU000202,Backpack 640,BR00876,CAT001,Son tree movement know. Product particular fund chance foreign east head.,2026-05-20,ACTIVE
P000203,SKU000203,Jeans 819,BR00991,CAT005,Then other her their ahead even stuff eye. About seat skill reason begin.,2023-11-10,ACTIVE
P000204,SKU000204,Headphones 186,BR00097,CAT005,Attack fire throw ahead. Decade reveal color assume stuff condition.,2024-01-21,ACTIVE
P000205,SKU000205,Jacket 749,BR00177,CAT002,Us seem live size sure.,2026-09-16,ACTIVE
P000206,SKU000206,Backpack 740,BR00065,CAT004,Poor enter exist carry prove. Any body Mr west. Outside write arm year.,2024-08-07,ACTIVE
P000207,SKU000207,T-Shirt 472,BR00747,CAT003,Understand thousand focus threat environment. Institution animal stay quite small.,2023-11-25,ACTIVE
P000208,SKU000208,Jacket 497,BR00308,CAT005,Story win image she research. Ask fish table college reveal become.,2025-06-10,ACTIVE
P000209,SKU000209,Sneakers 607,BR00557,CAT004,Training offer training book pay. Whose himself much scene everyone. Mr bag respond.,2024-11-13,ACTIVE
P000210,SKU000210,Backpack 261,BR00495,CAT003,My bad dinner produce travel support guess. Painting argue difficult compare its despite.,2024-07-04,ACTIVE
P000211,SKU000211,Jeans 650,BR00379,CAT004,Music leg business shoulder appear. Little everybody stop.,2025-06-16,ACTIVE
P000212,SKU000212,Sneakers 654,BR00444,CAT002,Light walk great other environment evening. Six itself tree us note fact.,2024-07-01,ACTIVE
P000213,SKU000213,Headphones 603,BR00800,CAT004,Small less become network difficult yourself hospital. Young street decade.,2024-09-09,ACTIVE
P000214,SKU000214,Jeans 315,BR00956,CAT004,Both alone ability help about value during. Cut value evening every success.,2025-06-16,ACTIVE
P000215,SKU000215,Jacket 468,BR00602,CAT004,Industry hand and high movement hear. Forget since prevent market local level.,2024-04-18,ACTIVE
