supplier_id,supplier_name,country,lead_time_days
SUP00181,"Thomas, Peck and Lopez",Lao People's Democratic Republic,35
SUP00182,Roberts-Rivera,French Southern Territories,21
SUP00183,Williams-Graham,Tuvalu,4
SUP00184,Ross-Moore,Algeria,57
SUP00185,Townsend and Sons,Switzerland,56
SUP00186,Sandoval Group,Haiti,41
SUP00187,"Sullivan, Thomas and Skinner",Comoros,33
SUP00188,"Roberts, Cook and Mendoza",Kyrgyz Republic,46
SUP00189,Rangel Ltd,Bhutan,16
SUP00190,"Mahoney, Yang and Jones",Guinea,41
SUP00191,Morales Group,Nepal,58
SUP00192,Mills-Alvarez,Dominica,14
SUP00193,Davis-Wood,Afghanistan,47
SUP00194,"Simmons, Adkins and Wolf",Yemen,8
SUP00195,Navarro Ltd,Pakistan,55
SUP00196,"Ferguson, Reed and Cook",Jersey,9
SUP00197,Clark-Watson,Finland,59
SUP00198,"Pineda, Reyes and Ritter",Vietnam,9
SUP00199,Arellano-Fowler,Guinea-Bissau,14
SUP00200,"Yoder, Flowers and Mckay",Slovenia,55
SUP00201,Allen-Russell,Kiribati,11
SUP00202,Oliver LLC,Western Sahara,53
SUP00203,Rodriguez Inc,Libyan Arab Jamahiriya,48
SUP00204,"Ramirez, Nguyen and Gonzalez",Ireland,9
SUP00205,"Ortiz, Calhoun and Wise",North Macedonia,28
SUP00206,Malone-Wells,Fiji,16
SUP00207,Hess-Garcia,Ecuador,11
SUP00208,Hughes-Johnson,Lebanon,48
SUP00209,Jimenez-Moreno,Denmark,15
SUP00210,"Crawford, Walsh and Parker",United Kingdom,23
SUP00211,Anderson-Sanchez,French Polynesia,11
SUP00212,Hutchinson Inc,Namibia,31
SUP00213,Ellis LLC,Nicaragua,7
SUP00214,Acevedo and Sons,Italy,18
SUP00215,Cunningham Ltd,Libyan Arab Jamahiriya,20
SUP00216,Bryant Ltd,Haiti,11
SUP00217,Owens Ltd,Belarus,60
SUP00218,"Conrad, Rodriguez and Harris",Honduras,4
SUP00219,Warner-Sandoval,Mozambique,25
SUP00220,"Miles, Lopez and Graham",American Samoa,29
SUP00221,Diaz Group,Saint Kitts and Nevis,36
SUP00222,Hernandez Ltd,Grenada,39
SUP00223,Donaldson PLC,Tuvalu,39
SUP00224,Turner-Mcgee,Liechtenstein,12
SUP00225,Green-Burgess,Equatorial Guinea,7
SUP00226,King-Mcmahon,Thailand,23
SUP00227,"Jones, Flores and Mcdonald",Martinique,55
SUP00228,Jarvis Group,Andorra,55
SUP00229,Boyer-Williams,Somalia,36
SUP00230,Mcgee Group,Saint Martin,22
SUP00231,"Williams, Moody and Jacobson",Kenya,15
SUP00232,Diaz Ltd,Japan,55
SUP00233,Rivera-Greene,Malaysia,25
SUP00234,Hunt LLC,Netherlands Antilles,50
SUP00235,Lopez Ltd,Saint Lucia,29
SUP00236,Williams-Johnson,San Marino,37
SUP00237,"Morris, Hill and Cross",Sierra Leone,50
SUP00238,"Clark, Graham and Pugh",Italy,34
SUP00239,King Group,Equatorial Guinea,21
SUP00240,George-Miles,Poland,15
SUP00241,Church-Tapia,Nepal,47
SUP00242,Thomas Ltd,Armenia,26
SUP00243,Scott-Valencia,Venezuela,23
SUP00244,Williams Group,Lithuania,47
SUP00245,"Wilcox, Kemp and Avila",Korea,18
SUP00246,Oconnor-Mcdaniel,Dominican Republic,31
SUP00247,Powell-Fuentes,Suriname,37
SUP00248,"Woods, Gordon and Bailey",Kiribati,35
SUP00249,Glover-Thornton,French Southern Territories,58
SUP00250,Duncan-Mccoy,Guinea-Bissau,59
SUP00251,Palmer LLC,Germany,59
SUP00252,Myers and Sons,Somalia,24
SUP00253,Brown-Clark,Finland,19
SUP00254,Cole-Caldwell,Palau,14
SUP00255,Jones-Williams,Georgia,32
SUP00256,"Rogers, Wallace and Graham",South Georgia and the South Sandwich Islands,13
SUP00257,Lopez and Sons,Togo,27
SUP00258,Chaney LLC,American Samoa,32
SUP00259,Hughes-Olson,Slovakia (Slovak Republic),32
SUP00260,Ramirez-Burns,Bouvet Island (Bouvetoya),12
SUP00261,Foster and Sons,Congo,57
SUP00262,Pacheco-Scott,British Indian Ocean Territory (Chagos Archipelago),54
SUP00263,Harris-Wells,Malta,38
SUP00264,Haynes-Neal,Czech Republic,17
SUP00265,West Ltd,Niue,40
SUP00266,"Long, Bowman and Doyle",Iran,33
SUP00267,Dixon-Kramer,Bolivia,4
SUP00268,Bradshaw-Davis,Palestinian Territory,18
SUP00269,Lucero LLC,Hong Kong,21
SUP00270,"Richardson, Clark and Wilson",Comoros,60
SUP00271,Miller LLC,Svalbard & Jan Mayen Islands,32
SUP00272,"Mahoney, Morales and Rollins",Netherlands,12
SUP00273,Arnold and Sons,French Southern Territories,15
SUP00274,"Fuller, White and Henderson",Gambia,38
SUP00275,"Tanner, Anderson and Avila",Chile,31
SUP00276,Gray Group,Sierra Leone,8
SUP00277,Mercer Inc,Anguilla,54
SUP00278,Kennedy and Sons,Iceland,54
SUP00279,"Spears, Thompson and Wilson",Lao People's Democratic Republic,22
SUP00280,Pugh LLC,Switzerland,45
SUP00281,"Bryant, Snyder and Huff",Mozambique,9
SUP00282,"Garcia, Cooper and Williams",Liberia,15
SUP00283,Berry PLC,Italy,22
SUP00284,Thomas PLC,Saudi Arabia,25
SUP00285,"Garcia, Hicks and Wells",Mauritania,53
SUP00286,"Steele, Anderson and Ballard",Peru,49
SUP00287,Jordan-Fernandez,Honduras,16
SUP00288,Baker-Howe,Chile,59
SUP00289,Sweeney LLC,Dominican Republic,52
SUP00290,Newman-Hicks,Mali,42
SUP00291,Henson Group,Singapore,11
SUP00292,Hernandez-Soto,Haiti,10
SUP00293,Wade-Frazier,Peru,55
SUP00294,"Cox, Clay and Vargas",Switzerland,7
SUP00295,Green PLC,Sao Tome and Principe,41
SUP00296,Hill and Sons,Pakistan,42
SUP00297,Davis Inc,Vanuatu,20
SUP00298,Little and Sons,Lao People's Democratic Republic,3
SUP00299,"Chaney, Jones and Davidson",Cameroon,5
SUP00300,Knight LLC,Bolivia,41
SUP00301,Carter and Sons,Korea,3
SUP00302,Meyer PLC,Palestinian Territory,35
SUP00303,Andrade-Gray,Poland,29
SUP00304,Kennedy Inc,Mayotte,52
SUP00305,Brown PLC,Vanuatu,21
SUP00306,"Perry, Campbell and Turner",Costa Rica,59
SUP00307,Conley-Davis,Bangladesh,38
SUP00308,Gould and Sons,Taiwan,18
SUP00309,"Medina, Johnson and Tran",Grenada,50
SUP00310,Martinez-Martin,Honduras,13
SUP00311,Calderon PLC,Nepal,35
SUP00312,"Brown, Murray and Manning",San Marino,4
SUP00313,Evans-Wilcox,Cambodia,35
SUP00314,Fowler PLC,Malawi,58
SUP00315,"Williams, Mccarthy and Burke",Saint Vincent and the Grenadines,29
SUP00316,Rocha-Mills,Algeria,36
SUP00317,Hendricks-Ferguson,Bulgaria,59
SUP00318,"Price, Gray and Sawyer",Iceland,34
SUP00319,Vance-Thomas,Denmark,11
SUP00320,Hunt-Barton,Niger,48
SUP00321,Sutton-Price,Djibouti,4
SUP00322,Lopez Group,Bhutan,55
SUP00323,Fleming LLC,Qatar,37
SUP00324,Price and Sons,Mauritania,45
SUP00325,"Garcia, Owen and Watson",Sierra Leone,22
SUP00326,"Jackson, Simpson and Nguyen",Ethiopia,60
SUP00327,Price LLC,Saint Martin,26
SUP00328,Morrison-Hensley,Zambia,22
SUP00329,"Stone, Cunningham and Villa",Saint Barthelemy,12
SUP00330,"Moore, Weaver and Grant",Barbados,10
SUP00331,"Griffin, Dominguez and Castro",Indonesia,48
SUP00332,"Thomas, Owen and Mejia",Chad,3
SUP00333,"Morgan, Paul and Brooks",India,18
SUP00334,Manning-Moore,Kiribati,9
SUP00335,"Baker, Hanson and Robinson",Suriname,43
SUP00336,Wright-Cook,Brazil,54
SUP00337,Newman PLC,Malta,28
SUP00338,Ewing-Bishop,Cape Verde,31
SUP00339,"Frazier, Ashley and Hughes",Paraguay,22
SUP00340,Stone PLC,Lithuania,6
SUP00341,Landry Inc,Turkey,16
SUP00342,Chavez-Fletcher,Mozambique,38
SUP00343,Butler-Lee,Morocco,37
SUP00344,Rhodes Inc,New Zealand,41
SUP00345,"Clark, Reid and Mitchell",Chile,36
SUP00346,"Anderson, Freeman and Sims",Zambia,55
SUP00347,"Choi, Adams and Duran",Korea,5
SUP00348,"Le, Weber and Mosley",Tajikistan,30
SUP00349,"Bailey, Stewart and Garrison",Morocco,54
SUP00350,Castaneda LLC,Czech Republic,32
SUP00351,Murillo PLC,Poland,35
SUP00352,Stewart LLC,Dominica,4
SUP00353,"Hawkins, Rodriguez and Baker",Barbados,56
SUP00354,Jensen LLC,Costa Rica,38
SUP00355,Garcia Ltd,Cape Verde,11
SUP00356,"Briggs, Miller and Ford",Armenia,55
SUP00357,"Mcmahon, Lin and Allen",American Samoa,45
SUP00358,Bradley-Ramos,Iceland,27
SUP00359,Hayes Group,Fiji,25
SUP00360,Castro-Morgan,Fiji,12
SUP00361,Sawyer-Burke,Morocco,58
SUP00362,Mendez-Jefferson,San Marino,25
SUP00363,Morgan Group,Sweden,59
SUP00364,Morrison Ltd,United Kingdom,50
SUP00365,Moses-Moore,Mauritania,20
SUP00366,Henderson-Roberts,Switzerland,19
SUP00367,"Edwards, Diaz and Avila",Bouvet Island (Bouvetoya),29
SUP00368,"Roberts, Payne and Jones",Congo,59
SUP00369,"Rodriguez, Evans and Johnson",Falkland Islands (Malvinas),20
SUP00370,"Allen, Davies and Love",Slovenia,60
SUP00371,"Turner, Salas and Gray",Tuvalu,59
SUP00372,Sanders Group,El Salvador,34
SUP00373,Murphy-Kane,Saint Lucia,11
SUP00374,Campbell Ltd,Cyprus,5
SUP00375,Wilson Inc,Iran,27
SUP00376,Price-Townsend,Libyan Arab Jamahiriya,3
SUP00377,Stokes-Herring,Dominican Republic,19
SUP00378,"Merritt, Morgan and Roth",Turks and Caicos Islands,28
SUP00379,Lewis Group,Liberia,14
SUP00380,"Sawyer, Moore and Phillips",Bouvet Island (Bouvetoya),31
SUP00381,Miller-Dean,Cocos (Keeling) Islands,9
SUP00382,Bowers PLC,Guatemala,50
SUP00383,"Stone, Huffman and Boone",Mauritania,59
SUP00384,"Sanders, Jones and Rivera",Belgium,40
SUP00385,Wood and Sons,Japan,29
SUP00386,Lowery-Rivera,Wallis and Futuna,59
SUP00387,"Moss, Green and Powell",Burundi,55
SUP00388,Lester-Krueger,Cote d'Ivoire,21
SUP00389,Collins Inc,Madagascar,45
SUP00390,Nelson-Baldwin,Qatar,57
SUP00391,Trevino LLC,Nigeria,6
SUP00392,Hinton-Levy,Mongolia,5
SUP00393,Gonzalez-Armstrong,Algeria,58
SUP00394,Mora Ltd,Lebanon,20
SUP00395,Hodges PLC,United States of America,60
SUP00396,"Ramos, Norris and Day",Bolivia,38
SUP00397,Hendricks-Gonzales,Antarctica (the territory South of 60 deg S),30
SUP00398,Garcia-Stevens,Lao People's Democratic Republic,58
SUP00399,Lopez-Kelley,Spain,36
SUP00400,Martin-Gibbs,Anguilla,6
SUP00401,"Perez, Williams and Curtis",Guernsey,42
SUP00402,Robbins Group,France,40
SUP00403,"Keller, Roberts and Mccarthy",Palau,14
SUP00404,Jimenez Group,Aruba,9
SUP00405,Reid-Larson,United States of America,13
SUP00406,"Wilson, Richardson and Anthony",Chad,19
SUP00407,Berry-Stone,Timor-Leste,45
SUP00408,Lee LLC,San Marino,8
SUP00409,Myers LLC,Austria,29
SUP00410,Martinez and Sons,French Polynesia,46
SUP00411,Anderson Ltd,Belgium,55
SUP00412,Salazar and Sons,Cocos (Keeling) Islands,9
SUP00413,James and Sons,Egypt,25
SUP00414,Barber Inc,Swaziland,25
SUP00415,Black and Sons,Qatar,13
SUP00416,"Barber, Johnson and Wilson",Grenada,36
SUP00417,Martinez-Santiago,Philippines,48
SUP00418,Hurley and Sons,Netherlands,51
SUP00419,Cabrera-Howard,Chile,23
SUP00420,Thomas-Myers,Algeria,11
SUP00421,"Figueroa, Wolf and Smith",Chad,4
SUP00422,Torres-Ballard,Uganda,58
SUP00423,Ellis Inc,Malaysia,10
SUP00424,Gutierrez LLC,Lithuania,38
SUP00425,Ford LLC,Indonesia,6
SUP00426,Odonnell-Griffin,American Samoa,51
SUP00427,"Morrow, Wilson and Sanders",Honduras,28
SUP00428,"Johnson, Valencia and Jones",Northern Mariana Islands,33
SUP00429,"Anderson, Martin and Mendoza",Gambia,44
SUP00430,Smith PLC,Singapore,56
SUP00431,"Patrick, Newman and Baker",Swaziland,42
SUP00432,Sherman PLC,Slovakia (Slovak Republic),9
SUP00433,Gardner-Stone,United States Minor Outlying Islands,8
SUP00434,Wang-Solis,Niue,37
SUP00435,Montoya-Brown,Congo,29
SUP00436,Baker and Sons,Slovenia,39
SUP00437,"Bishop, Le and Rice",Anguilla,44
SUP00438,Humphrey-Terrell,Heard Island and McDonald Islands,55
SUP00439,"Ford, Kent and Smith",Belize,42
SUP00440,Robles-Lee,Kyrgyz Republic,3
SUP00441,Smith-Evans,Ukraine,9
SUP00442,"Monroe, Wilson and Nielsen",Saint Barthelemy,35
SUP00443,Freeman Inc,Kazakhstan,10
SUP00444,"Medina, Brown and Hunter",French Polynesia,34
SUP00445,Jackson-Simpson,Northern Mariana Islands,13
SUP00446,"Hall, Gibson and Grant",Romania,9
SUP00447,Andrade-Collins,Cook Islands,21
SUP00448,"Little, Wheeler and Watson",Cameroon,19
SUP00449,Moses-Sherman,Albania,52
SUP00450,Collier-Blanchard,Lebanon,55
SUP00451,"Cooper, Adams and Williams",Somalia,22
SUP00452,"Barker, Davis and Rice",Dominica,57
SUP00453,Atkinson-Murphy,Samoa,52
SUP00454,Miranda LLC,Nauru,12
SUP00455,"Waters, Robinson and Brown",Cambodia,29
SUP00456,"Atkinson, Hawkins and Golden",Morocco,55
SUP00457,Wright-Beck,Belarus,49
SUP00458,Herman-Krueger,Montenegro,59
SUP00459,Griffin LLC,Saint Pierre and Miquelon,31
SUP00460,"Ortega, Guerra and Rosario",Cook Islands,50
SUP00461,"Ramos, Jennings and Martin",Guinea-Bissau,3
SUP00462,Allen-Green,Senegal,34
SUP00463,Jones-Dickerson,United States Virgin Islands,50
SUP00464,Green and Sons,Libyan Arab Jamahiriya,40
SUP00465,Carr Inc,Azerbaijan,16
SUP00466,"Cooper, Wilson and Rivera",Senegal,37
SUP00467,Freeman-Simpson,Macao,45
SUP00468,Bruce-Nash,Antigua and Barbuda,4
SUP00469,Macias LLC,Nauru,4
SUP00470,Gentry-Reilly,Congo,38
SUP00471,"Brown, Gonzalez and Martinez",Kazakhstan,31
SUP00472,Miller LLC,Chad,59
SUP00473,"Love, Johnson and Chambers",Antigua and Barbuda,59
SUP00474,"Neal, Jenkins and Mathews",Antigua and Barbuda,20
SUP00475,"Flynn, Martin and Smith",Serbia,54
SUP00476,Stone-Perez,Marshall Islands,10
SUP00477,"Owens, Stephenson and Lee",Mozambique,53
SUP00478,Martin-Warren,Northern Mariana Islands,7
SUP00479,"Young, Campbell and Lopez",Madagascar,42
SUP00480,Mejia LLC,Antarctica (the territory South of 60 deg S),51
SUP00481,Gonzalez Ltd,Cyprus,10
SUP00482,Henderson and Sons,Iraq,39
SUP00483,Hoffman-Pruitt,Antigua and Barbuda,55
SUP00484,"Garcia, Owens and Ingram",Cyprus,24
SUP00485,"Moran, Fleming and Gomez",Venezuela,6
SUP00486,"White, Powell and Estrada",Libyan Arab Jamahiriya,52
SUP00487,Mitchell LLC,Djibouti,49
SUP00488,"Rodriguez, Oconnor and Kelly",French Guiana,39
SUP00489,Brown-Fitzgerald,Seychelles,20
SUP00490,"Richardson, Allen and Shea",Guinea-Bissau,38
SUP00491,Williams Group,Pakistan,49
SUP00492,"Weiss, Carroll and Baker",Fiji,56
SUP00493,Jackson and Sons,Seychelles,48
SUP00494,Moore-Watson,Finland,46
SUP00495,Price Inc,Guernsey,3
SUP00496,Gutierrez-Middleton,Cyprus,50
SUP00497,Johnson and Sons,Guadeloupe,37
SUP00498,Hoffman Inc,United States of America,45
SUP00499,Powers-Jones,Switzerland,33
SUP00500,"Smith, Vargas and Turner",Lesotho,59
SUP00501,"Dennis, Edwards and Berry",Costa Rica,31
SUP00502,"Williams, Baird and Campbell",Croatia,34
SUP00503,"Hernandez, Thompson and Shannon",American Samoa,36
SUP00504,Roberts-Carney,Saint Kitts and Nevis,22
SUP00505,Martinez PLC,Egypt,41
SUP00506,Maldonado Group,Kuwait,37
SUP00507,"Johnson, Brown and Huber",Hungary,50
SUP00508,Wright-Conley,Turkey,21
SUP00509,"Butler, Miller and Leon",Mozambique,30
SUP00510,Collins LLC,United Arab Emirates,8
SUP00511,Salazar Inc,Suriname,9
SUP00512,"Matthews, Moore and Taylor",Namibia,31
SUP00513,"Hernandez, Thompson and Martinez",British Indian Ocean Territory (Chagos Archipelago),12
SUP00514,Goodwin and Sons,Portugal,30
SUP00515,"Williams, Martinez and Murray",Afghanistan,26
SUP00516,"Hensley, Owen and Dorsey",Philippines,53
SUP00517,Mora Group,Pitcairn Islands,57
SUP00518,"Warner, Patel and Allen",Venezuela,41
SUP00519,"Castro, Smith and Delgado",Montserrat,36
SUP00520,Vasquez-King,Andorra,13
SUP00521,Ramirez Ltd,French Southern Territories,28
SUP00522,Palmer Ltd,Fiji,57
SUP00523,Dean Group,Lebanon,5
SUP00524,Mullen PLC,Malawi,55
SUP00525,Tate Ltd,Nepal,8
SUP00526,"Walker, Weaver and Brown",Zambia,7
SUP00527,May Group,Djibouti,6
SUP00528,Castro LLC,Cocos (Keeling) Islands,60
SUP00529,White-Harrison,Panama,40
SUP00530,Norton Ltd,Finland,54
SUP00531,"Mcdaniel, Johnson and Carter",Martinique,22
SUP00532,"Sheppard, Tucker and Harris",Cambodia,25
SUP00533,Gomez and Sons,San Marino,17
SUP00534,"Medina, Smith and Hill",Portugal,55
SUP00535,Martinez Group,Colombia,46
SUP00536,"Clark, Barnett and Wheeler",El Salvador,30
SUP00537,Gonzales-Guzman,Nicaragua,33
SUP00538,"Hernandez, Sanchez and Carroll",Palestinian Territory,5
SUP00539,Montoya PLC,Finland,31
SUP00540,Hernandez-Cox,Nauru,17
SUP00541,"Barron, Williams and Jones",Kenya,32
SUP00542,Kelley Group,Congo,57
SUP00543,Sheppard-Knapp,Angola,50
SUP00544,Gray-Walker,Belarus,25
